form,max_health,movement_speed,armor,armor_toughness,knockback_resistance
minecraft:pufferfish,3.0,0.7,0.0,0.0,0.0
minecraft:rabbit,3.0,0.30000001192092896,0.0,0.0,0.0
minecraft:ravager,100.0,0.3,0.0,0.0,0.75
minecraft:salmon,3.0,0.7,0.0,0.0,0.0
minecraft:sheep,8.0,0.23000000417232513,0.0,0.0,0.0
minecraft:shulker,30.0,0.7,20.0,0.0,0.0
minecraft:silverfish,8.0,0.25,0.0,0.0,0.0
minecraft:skeleton,20.0,0.25,0.0,0.0,0.0
minecraft:skeleton_horse,15.0,0.20000000298023224,0.0,0.0,0.0
minecraft:slime,1.0,0.30000001192092896,0.0,0.0,0.0
minecraft:sniffer,14.0,0.10000000149011612,0.0,0.0,0.0
minecraft:snow_golem,4.0,0.20000000298023224,0.0,0.0,0.0
minecraft:spider,16.0,0.30000001192092896,0.0,0.0,0.0
minecraft:squid,10.0,0.7,0.0,0.0,0.0
minecraft:stray,20.0,0.25,0.0,0.0,0.0
minecraft:strider,20.0,0.17499999701976776,0.0,0.0,0.0
minecraft:sulfur_cube,4.0,0.30000001192092896,0.0,0.0,0.0
minecraft:tadpole,6.0,1.0,0.0,0.0,0.0
minecraft:trader_llama,53.0,0.17499999701976776,0.0,0.0,0.0
minecraft:tropical_fish,3.0,0.7,0.0,0.0,0.0
minecraft:turtle,30.0,0.25,0.0,0.0,0.0
minecraft:vex,14.0,0.7,0.0,0.0,0.0
minecraft:villager,20.0,0.5,0.0,0.0,0.0
minecraft:vindicator,24.0,0.3499999940395355,0.0,0.0,0.0
minecraft:wandering_trader,20.0,0.7,0.0,0.0,0.0
minecraft:warden,500.0,0.30000001192092896,0.0,0.0,1.0
minecraft:witch,26.0,0.25,0.0,0.0,0.0
minecraft:wither,300.0,0.6000000238418579,4.0,0.0,0.0
minecraft:wither_skeleton,20.0,0.25,0.0,0.0,0.0
minecraft:wolf,8.0,0.30000001192092896,0.0,0.0,0.0
minecraft:zoglin,40.0,0.30000001192092896,0.0,0.0,0.6000000238418579
minecraft:zombie,20.0,0.23000000417232513,2.0,0.0,0.0
minecraft:zombie_horse,25.0,0.22499999403953552,0.0,0.0,0.0
minecraft:zombie_nautilus,15.0,1.100000023841858,0.0,0.0,0.30000001192092896
minecraft:zombie_villager,20.0,0.23000000417232513,2.0,0.0,0.0
minecraft:zombified_piglin,20.0,0.23000000417232513,2.0,0.0,0.0
